"id","source_id","source_name","category","title","summary","item_url","source_url","published_date","scrape_status","error_message","raw_json","scraped_at","created_at","updated_at","protected_from_cleanup","protected_at"
"smi-b8e31418bc930f0a","northrop","Northrop Grumman","Contractor Newsrooms","Northrop Grumman Unveils Beacon™ Autonomous Testbed Ecosystem",,"https://news.northropgrumman.com/autonomous-systems/Northrop-Grumman-Unveils-Beacon-Autonomous-Testbed-Ecosystem","https://news.northropgrumman.com/",,"success",,"{""title"":""Northrop Grumman Unveils Beacon™ Autonomous Testbed Ecosystem"",""itemUrl"":""https://news.northropgrumman.com/autonomous-systems/Northrop-Grumman-Unveils-Beacon-Autonomous-Testbed-Ecosystem""}","2026-06-24 07:52:48.791","2026-06-24 07:52:48.791","2026-06-24 07:52:48.791","false",
"smi-ba43ffc8d4cd0c96","naspo","NASPO State Procurement Directory","State / Local Procurement","About",,"https://www.naspo.org/awards/emerging-leaders/","https://www.naspo.org/states/",,"success",,"{""title"":""About"",""itemUrl"":""https://www.naspo.org/awards/emerging-leaders/""}","2026-06-24 07:53:44.135","2026-06-24 07:53:44.135","2026-06-24 07:53:44.135","false",
"smi-bc0f265a3e7d5f31","osha-enforcement","OSHA Enforcement","Medical / Deployment / Occu-Med","Job Safety and Health Poster",,"https://www.osha.gov/publications/poster","https://www.osha.gov/ords/imis/establishment.html",,"success",,"{""title"":""Job Safety and Health Poster"",""itemUrl"":""https://www.osha.gov/publications/poster""}","2026-06-24 07:53:42.191","2026-06-24 07:53:42.191","2026-06-24 07:53:42.191","false",
"smi-be2fb5c699b245b4","faa-ame","FAA AME Guide","Medical / Deployment / Occu-Med","General Guidance for Therapists, Psychotherapists, or counselors treating of pilots/ATCS",,"https://www.faa.gov/ame_guide/media/Info_for_Psychotherapists_Treating_Pilots_ATCS.pdf","https://www.faa.gov/ame_guide","2026-05-27 00:00:00","success",,"{""title"":""General Guidance for Therapists, Psychotherapists, or counselors treating of pilots/ATCS"",""itemUrl"":""https://www.faa.gov/ame_guide/media/Info_for_Psychotherapists_Treating_Pilots_ATCS.pdf"",""publishedDate"":""2026-05-27T00:00:00.000Z""}","2026-06-24 07:53:35.572","2026-06-24 07:53:35.572","2026-06-24 07:53:35.572","false",
"smi-be3d05214169072d","nys-contracts","NYS Contract Reporter","State / Local Procurement","Advertise Bids",,"https://www.nyscr.ny.gov/Home/Advertise","https://www.nyscr.ny.gov/",,"success",,"{""title"":""Advertise Bids"",""itemUrl"":""https://www.nyscr.ny.gov/Home/Advertise""}","2026-06-24 07:54:03.53","2026-06-24 07:54:03.53","2026-06-24 07:54:03.53","false",
"smi-c019a6e114e779f2","usajobs","USAJOBS","Workforce / Demand","Clovis Night Out 2026",,"https://www.usajobs.gov/Event/5602","https://www.usajobs.gov/","2026-10-03 00:00:00","success",,"{""title"":""Clovis Night Out 2026"",""itemUrl"":""https://www.usajobs.gov/Event/5602"",""publishedDate"":""2026-10-03T00:00:00.000Z""}","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","false",
"smi-c04376799e3acfa3","parsons","Parsons","Contractor Newsrooms","Parsons Accelerates Mission Success With Advanced AI",,"https://www.parsons.com/2026/06/parsons-accelerates-mission-success-with-advanced-ai/","https://www.parsons.com/newsroom/",,"success",,"{""title"":""Parsons Accelerates Mission Success With Advanced AI"",""itemUrl"":""https://www.parsons.com/2026/06/parsons-accelerates-mission-success-with-advanced-ai/""}","2026-06-24 07:52:53.448","2026-06-24 07:52:53.448","2026-06-24 07:52:53.448","false",
"smi-c0a078094df28baa","usajobs","USAJOBS","Workforce / Demand","Direct Hire Event - USMCFP Springfield, MO",,"https://www.usajobs.gov/Event/5615","https://www.usajobs.gov/",,"success",,"{""title"":""Direct Hire Event - USMCFP Springfield, MO"",""itemUrl"":""https://www.usajobs.gov/Event/5615""}","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","false",
"smi-c13caf918e6cacd7","usajobs","USAJOBS","Workforce / Demand","My jobs",,"https://www.usajobs.gov/applicant/profile/dashboard/","https://www.usajobs.gov/",,"success",,"{""title"":""My jobs"",""itemUrl"":""https://www.usajobs.gov/applicant/profile/dashboard/""}","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","false",
"smi-c5631a5928ae434d","osha-data","OSHA Data","Medical / Deployment / Occu-Med","Chemical Exposure Health Data",,"https://www.osha.gov/opengov/health-samples","https://www.osha.gov/data","2025-12-04 00:00:00","success",,"{""title"":""Chemical Exposure Health Data"",""itemUrl"":""https://www.osha.gov/opengov/health-samples"",""publishedDate"":""2025-12-04T00:00:00.000Z""}","2026-06-24 07:53:39.762","2026-06-24 07:53:39.762","2026-06-24 07:53:39.762","false",
"smi-c58a748eda958bb5","state-dept-travel","State Dept Travel Advisories","Medical / Deployment / Occu-Med","Andorra",,"https://travel.state.gov/en/international-travel/travel-advisories/andorra.html","https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories.html/","2026-05-21 00:00:00","success",,"{""title"":""Andorra"",""itemUrl"":""https://travel.state.gov/en/international-travel/travel-advisories/andorra.html"",""publishedDate"":""2026-05-21T00:00:00.000Z""}","2026-06-24 07:53:32.07","2026-06-24 07:53:32.07","2026-06-24 07:53:32.07","false",
"smi-c6292dcc20556921","nys-contracts","NYS Contract Reporter","State / Local Procurement","Doing Business with NYS",,"https://www.nyscr.ny.gov/Home/DoingBusiness","https://www.nyscr.ny.gov/",,"success",,"{""title"":""Doing Business with NYS"",""itemUrl"":""https://www.nyscr.ny.gov/Home/DoingBusiness""}","2026-06-24 07:54:03.53","2026-06-24 07:54:03.53","2026-06-24 07:54:03.53","false",
"smi-c6c694c205e2071c","sam-opps","SAM.gov Opportunities","Federal Procurement / Awards","Search vendor collaboration opportunities",,"https://sam.gov/search/?index=opp&page=1&sort=-relevance&pageSize=25&sfm%5Bstatus%5D%5Bis_active%5D=true&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ALL&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bkey%5D=%22Vendor%20Collaboration%22&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bvalue%5D=%22Vendor%20Collaboration%22","https://sam.gov/content/opportunities",,"success",,"{""title"":""Search vendor collaboration opportunities"",""itemUrl"":""https://sam.gov/search/?index=opp&page=1&sort=-relevance&pageSize=25&sfm%5Bstatus%5D%5Bis_active%5D=true&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ALL&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bkey%5D=%22Vendor%20Collaboration%22&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bvalue%5D=%22Vendor%20Collaboration%22""}","2026-06-24 07:53:02.339","2026-06-24 07:53:02.339","2026-06-24 07:53:02.339","false",
"smi-c81ed8f34c86a77c","parsons","Parsons","Contractor Newsrooms","Parsons Secures A Total Of $218 Million On AFRL GARDEM Contracts",,"https://www.parsons.com/2026/06/parsons-secures-a-total-of-218-million-on-afrl-gardem-contracts/","https://www.parsons.com/newsroom/",,"success",,"{""title"":""Parsons Secures A Total Of $218 Million On AFRL GARDEM Contracts"",""itemUrl"":""https://www.parsons.com/2026/06/parsons-secures-a-total-of-218-million-on-afrl-gardem-contracts/""}","2026-06-24 07:52:53.448","2026-06-24 07:52:53.448","2026-06-24 07:52:53.448","false",
"smi-cc324fbb1a73b4ab","dhs-oig","DHS OIG","Oversight / Pain Points","Note on Non-Disclosure Agreements",,"https://www.oig.dhs.gov/sites/default/files/DHS%20OIG%20NDA%20Notice.pdf","https://www.oig.dhs.gov/",,"success",,"{""title"":""Note on Non-Disclosure Agreements"",""itemUrl"":""https://www.oig.dhs.gov/sites/default/files/DHS%20OIG%20NDA%20Notice.pdf""}","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","false",
"smi-cdc4c21f08631428","osha-news","OSHA News Releases","Medical / Deployment / Occu-Med","A to Z Index",,"https://www.osha.gov/a-z","https://www.osha.gov/news/newsreleases",,"success",,"{""title"":""A to Z Index"",""itemUrl"":""https://www.osha.gov/a-z""}","2026-06-24 07:53:37.759","2026-06-24 07:53:37.759","2026-06-24 07:53:37.759","false",
